Gene ID	T_rep 1	T_rep 2	T_rep 3	T_rep 4	C_rep 1	C_rep 2	C_rep 3	C_rep 4	log2
Tspan7	100.704	87.75	88.1052	95.5697	313.785	284.397	314.524	338.151	
Nme1	61.9649	57.3658	35.9244	46.5129	274.697	262.028	270.285	273.497	
Acot7	147.549	127.36	101.217	120.979	367.629	354.91	315.295	357.146	
Sst	98.9798	71.5699	68.1993	76.8793	332.662	283.562	303.317	296.573	
Rtn3	113.694	90.9688	113.877	108.575	317.027	335.991	333.122	345.619	
Timm8b	96.4589	57.6329	49.8047	74.0633	291.442	282.737	311.318	298.857	
Gabarap	74.1927	43.619	29.3168	53.8743	293.755	279.983	265.44	269.191	
Pgk1	100.23	98.8261	99.9594	93.8364	313.078	339.567	335.653	312.264	
Qdpr	84.6175	67.3295	49.6817	60.8387	302.773	317.366	277.064	290.292	
Atp6v1e1	106.055	97.171	92.5547	95.18	325.122	336.273	360.458	325.627	
Cox7a2l	94.37	81.4497	55.4729	70.7227	339.32	355.622	373.18	339.395	
Ndufa12	114.672	128.627	91.2582	95.6938	380.377	371.536	396.877	391.627	
Ldhb	181.706	158.16	142.944	168.516	467.145	483.998	443.874	442.94	
Resp18	150.296	186.264	142.441	145.436	463.502	454.927	450.349	466.808	
Ap2s1	69.5122	58.2717	41.5013	44.2576	373.986	358.764	343.621	355.072	
Hsbp1	80.3327	58.8531	56.6565	76.7665	365.371	361.036	408.423	369.171	
Tagln3	114.211	104.714	62.4448	87.7898	413.547	419.255	373.161	394.621	
Nedd8	70.8814	60.4522	41.5183	42.468	365.291	352.767	373.645	366.115	
Cox7a2	77.3049	53.8821	40.2992	52.8089	382.956	388.83	396.042	377.432	
Fkbp1a	102.277	67.7079	54.9457	84.6636	401.57	416.152	428.616	424.639	
Rnd2	73.5707	51.2723	40.8428	57.51	418.344	407.38	435.501	405.074	
Mir762	70.8097	48.5519	49.8722	71.5847	628.25	606.192	604.253	631.011	
