gene_id	gene_short_name	nonpomc_0	nonpomc_1	nonpomc_2	nonpomc_3	pomc_0	pomc_1	pomc_2	pomc_3
1110004E09Rik	1110004E09Rik	36.9236	37.551	39.2881	36.2061	31.0885	24.7589	14.2259	19.1693
1110004F10Rik	1110004F10Rik	137.416	153.661	172.929	156.943	128.36	103.367	93.4581	95.0856
1110005A03Rik	1110005A03Rik	10.6012	10.1557	10.5638	10.499	3.56194	2.97302	1.85056	2.53355
1110006O24Rik	1110006O24Rik	2.41704	1.90415	2.17232	3.25585	1.24953	0.822278	0.20348	0.87208
1110007C09Rik	1110007C09Rik	18.6281	13.7837	13.5457	12.8933	4.1406	4.27715	2.6129	4.03381
1110008F13Rik	1110008F13Rik	18.8107	19.0608	20.996	22.5086	15.4488	9.10689	5.79729	8.69572
1110008J03Rik	1110008J03Rik	15.0699	12.7537	10.2226	13.8942	6.16873	4.10603	2.99759	4.99003
1110008L16Rik	1110008L16Rik	3.74204	3.77081	3.53464	3.30692	3.78267	4.93299	4.88021	5.00311
1110008P14Rik	1110008P14Rik	125.44	103.76	90.0885	108.72	32.1412	14.5795	7.6153	16.201
1110012J17Rik	1110012J17Rik	6.69153	5.41287	4.84172	6.07985	13.0253	9.66855	6.82372	12.9832
1110012L19Rik	1110012L19Rik	16.6936	17.9797	18.2182	19.3723	6.04617	3.83185	4.80061	4.50015
1110014N23Rik	1110014N23Rik	16.5551	14.8324	11.8967	16.3029	8.1201	6.70101	4.95342	7.83067
1110015O18Rik	1110015O18Rik	3.26297	3.91949	6.14755	4.762	3.35752	2.36446	3.61841	5.50146
1110017D15Rik	1110017D15Rik	15.5926	14.5583	14.0177	12.7921	2.84091	4.64507	1.61778	3.25173
1110017F19Rik	1110017F19Rik	0.208775	0.0831294	0.029957	0.0271557	1.65487	2.72959	1.25242	1.37553
1110018G07Rik	1110018G07Rik	10.732	11.5382	11.042	11.3272	11.7394	13.7747	15.6943	15.7652
1110018J18Rik	1110018J18Rik	6.66727	6.38377	5.17975	5.73594	9.241	6.58102	4.97025	6.0089
1110019D14Rik	1110019D14Rik	1.05884	1.58544	1.78444	1.3917	1.35144	0.120064	2.33459	1.15926
1110020A21Rik	1110020A21Rik	1.76436	1.37131	1.6181	1.53869	1.44235	2.24675	1.55295	0.955046
1110020G09Rik	1110020G09Rik	19.8764	23.4418	25.6769	20.6996	20.9913	12.9706	10.3839	13.8099
1110021J02Rik	1110021J02Rik	14.0928	14.2352	13.8507	13.9133	15.2354	14.8096	15.3119	15.9392
1110021L09Rik	1110021L09Rik	4.99843	4.45545	7.35751	5.59908	5.05273	4.52274	5.40644	5.4394
1110028C15Rik	1110028C15Rik	3.04992	4.04024	4.55612	3.71789	8.05005	7.07908	7.32157	8.4271
1110028F11Rik	1110028F11Rik	0.0218353	0	0.0123227	0.0206845	0.252465	0.0920891	0.191454	0.216137
1110028F18Rik	1110028F18Rik	0	0	0	0	0	0	0	0
1110031I02Rik	1110031I02Rik	3.66291	3.67723	4.54449	5.10718	3.05385	3.63792	1.85272	1.9425
1110032A03Rik	1110032A03Rik	25.9263	31.9162	38.5133	31.8136	9.90781	5.13159	18.2442	10.319
1110032A04Rik	1110032A04Rik	3.6473	3.8155	5.58068	4.35384	1.42283	1.86883	1.35398	2.21955
1110032F04Rik	1110032F04Rik	3.03226	3.189	2.82418	3.64095	1.3048	1.08476	0.660158	1.12672
1110034A24Rik	1110034A24Rik	3.56616	2.66211	2.58528	3.47248	2.32833	1.28984	0.524682	2.2359
1110034B05Rik	1110034B05Rik	10.5848	9.90009	12.521	10.6832	6.37226	5.84856	5.68177	9.68375
1110034G24Rik	1110034G24Rik	6.28944	6.84556	6.35561	7.25205	2.47872	1.24113	2.0033	1.71463
1110035M17Rik	1110035M17Rik	2.22594	4.21638	3.47363	4.32791	1.59268	0.583072	0.733221	1.46736
1110036E04Rik	1110036E04Rik	0	0	0.0839876	0.0396827	0	0	0	0
1110037F02Rik	1110037F02Rik	3.50385	4.64866	4.37169	4.09389	11.0916	17.069	17.2774	18.1194
1110038B12Rik	1110038B12Rik	36.4389	31.0811	28.8392	31.4364	5.32782	14.388	6.09101	8.43415
1110038D17Rik	1110038D17Rik	5.59649	5.41325	5.29366	6.11323	5.93208	4.92868	4.52156	5.43526
1110038F14Rik	1110038F14Rik	24.6894	23.6582	18.3535	20.2064	12.8976	8.6197	6.74062	7.9357
1110046J04Rik	1110046J04Rik	5.86407	5.26159	8.23728	7.1181	3.23656	5.6099	8.41962	7.6622
1110049F12Rik	1110049F12Rik	177.36	173.724	180.365	184.051	68.6133	43.5464	27.7667	49.2296
1110050K14Rik	1110050K14Rik	0.127024	0.0316725	0.0879247	0.110404	0.41303	0.468542	0.099439	0.31433
1110051M20Rik	1110051M20Rik	74.4709	78.9554	76.8964	74.9014	31.9327	33.6084	30.5699	35.479
1110054M08Rik	1110054M08Rik	5.70432	5.00369	4.62367	6.16992	1.21996	0.90837	0.564003	1.17346
1110054O05Rik	1110054O05Rik	4.29543	4.58072	5.07957	4.69386	2.10882	3.23198	2.86908	2.16176
1110057K04Rik	1110057K04Rik	16.096	16.0364	18.9741	15.1719	10.6035	9.28904	9.70593	9.36432
1110058L19Rik	1110058L19Rik	72.0941	75.9668	89.1509	77.2492	27.4021	21.1464	22.5057	26.2936
1110059E24Rik	1110059E24Rik	35.9449	41.3614	52.7829	42.8331	17.9479	16.9512	23.2157	19.3168
1110059G10Rik	1110059G10Rik	5.43738	6.37964	7.31023	5.71417	2.07729	2.6243	2.0201	2.15502
1110059M19Rik	1110059M19Rik	0.0594585	0.0370447	0.0569279	0.124283	0	0	0	0
1110065P20Rik	1110065P20Rik	117.986	94.8267	84.461	96.8028	15.2925	7.50867	4.19268	8.56009
1110067D22Rik	1110067D22Rik	25.8562	28.7447	34.8818	31.5549	12.147	11.8812	12.332	13.1277
1190002F15Rik	1190002F15Rik	0.211725	0.171585	0.208314	0.359747	0	0	0	0
1190002H23Rik	1190002H23Rik	20.3334	18.9951	18.2998	17.633	9.34916	5.81302	3.87512	5.95108
1190002N15Rik	1190002N15Rik	7.33436	7.6168	8.92571	8.13562	8.05908	5.02753	4.23522	6.22264
1190003J15Rik	1190003J15Rik	0.509193	0.356036	0.10134	0.244459	0	0	0	0.135987
1190003K10Rik	1190003K10Rik	0	0	0	0	0	0	0	0
1190005F20Rik	1190005F20Rik	11.0795	10.8411	12.5064	12.0922	11.1652	10.6527	9.58255	13.1908
1190005I06Rik	1190005I06Rik	16.6565	14.3854	16.3714	16.3664	4.72029	3.9483	1.48821	3.40606
1190007F08Rik	1190007F08Rik	20.1758	20.3332	16.1098	18.5951	7.25754	5.07569	4.13834	5.86459
1190007I07Rik	1190007I07Rik	16.3712	18.0901	15.3084	18.2698	7.19256	3.49966	3.65501	9.05972
1200009I06Rik	1200009I06Rik	1.16623	0.789469	0.886503	0.978355	1.04551	0.478224	0.497029	0.526932
1200011I18Rik	1200011I18Rik	12.742	13.7705	16.028	14.3005	11.8667	12.2926	12.5219	12.7784
1200011M11Rik	1200011M11Rik	3.24001	3.03998	3.08062	3.07737	4.65936	3.82553	4.91999	4.20829
1200014J11Rik	1200014J11Rik	4.85456	5.36053	5.20004	5.16421	7.50275	8.28372	8.96594	9.60747
1200016B10Rik	1200016B10Rik	2.63875	2.5416	4.04466	2.55351	4.87644	6.16604	8.82448	6.68886
1300001I01Rik	1300001I01Rik	15.0017	15.1925	12.2016	14.0408	18.4872	19.1252	17.9353	24.6089
1300002E11Rik	1300002E11Rik	7.77673	7.76459	10.4573	10.3651	17.1249	15.0973	18.4954	14.9136
1300002K09Rik	1300002K09Rik	0.0863747	0.0104903	0.0641188	0.0350374	0	0	0.0366986	0
1300010F03Rik	1300010F03Rik	4.85566	4.81839	4.90328	4.86421	15.7441	17.7685	17.2104	22.7559
1300014I06Rik	1300014I06Rik	6.38898	6.25793	5.38406	5.46381	2.51964	0.980321	0.888262	1.45718
1300015D01Rik	1300015D01Rik	0.00847943	0.0106406	0	0	0.0486933	0	0	0
1300017J02Rik	1300017J02Rik	0.0419541	0.0332836	0.0128343	0.0332555	0.0934612	0.131258	0.141819	0
1300018I17Rik	1300018I17Rik	13.4013	12.1276	10.099	12.146	9.39386	8.2717	7.00427	9.29732
1300018J18Rik	1300018J18Rik	6.1433	6.391	5.52433	6.14181	7.54271	6.36356	4.24308	6.35189
1500001M20Rik	1500001M20Rik	10.9222	11.7849	9.19541	10.7767	6.98122	3.41827	3.64439	5.44608
1500002O10Rik	1500002O10Rik	0.451429	0.270481	0.298916	0.212561	0	0.237403	0	0.693661
1500002O20Rik	1500002O20Rik	11.0357	9.72674	7.8691	10.7199	6.07174	5.1616	5.25734	6.01392
1500003O03Rik	1500003O03Rik	158.473	170.943	164.948	169.062	49.9264	43.1048	41.5293	46.7558
1500004A13Rik	1500004A13Rik	6.19663	6.54225	5.95528	6.25393	15.2431	12.7467	14.289	13.7863
1500009C09Rik	1500009C09Rik	141.896	131.474	131.5	137.892	19.2197	12.1878	9.35069	14.2697
1500009L16Rik	1500009L16Rik	39.4539	42.9471	48.6665	42.5464	25.8035	25.9353	17.8409	24.7698
1500010J02Rik	1500010J02Rik	6.82434	7.45867	5.55061	6.98584	7.51767	7.60302	8.14238	10.5145
1500011B03Rik	1500011B03Rik	218.418	207.675	196.375	208.864	68.7949	48.3628	36.9409	53.0164
1500011H22Rik	1500011H22Rik	106.003	109.884	119.897	105.94	36.4583	38.6379	34.132	39.3392
1500011K16Rik	1500011K16Rik	62.7933	60.5877	77.769	68.181	16.5892	12.3005	7.4878	13.8172
1500012F01Rik	1500012F01Rik	153.847	135.839	130.397	149.232	15.651	12.7662	4.85149	13.9749
1500012K07Rik	1500012K07Rik	0.388943	0.540033	0.200335	0.804475	1.8696	2.26903	2.26752	1.61737
1500015A07Rik	1500015A07Rik	13.0939	13.5541	16.5955	14.8473	5.34735	5.17365	5.93335	5.10143
1500015L24Rik	1500015L24Rik	1.07312	1.04519	1.59035	1.27876	2.3544	2.37528	0.556531	0.706449
1500015O10Rik	1500015O10Rik	0.971571	1.30825	0.815669	0.708176	0.410803	0	0.0834949	0
1500016L03Rik	1500016L03Rik	22.6872	20.636	22.6658	26.8308	14.4767	4.79284	8.18159	10.1957
1500017E21Rik	1500017E21Rik	3.86768	4.43628	5.15982	3.93439	1.42786	3.30638	1.43787	1.78987
1500031L02Rik	1500031L02Rik	49.6197	50.253	59.8343	54.6504	49.4496	31.9332	30.3466	39.6032
1500032L24Rik	1500032L24Rik	394.775	362.189	349.93	376.564	86.4903	48.1001	28.6229	38.8016
1520402A15Rik	1520402A15Rik	10.36	9.63055	9.96362	10.1785	5.7663	4.35719	3.0204	3.29374
1600002D24Rik	1600002D24Rik	0.0965102	0	0.141801	0.0408208	0	0.0488785	0.0367916	0
1600002H07Rik	1600002H07Rik	3.60817	3.246	3.35047	3.64629	2.48127	2.00372	1.73931	2.8296
1600002K03Rik	1600002K03Rik	4.79465	4.33087	5.55684	4.5926	1.13769	3.20562	2.32747	2.47495
1600010M07Rik	1600010M07Rik	0.0643047	0	0.264769	0.105155	0	0.274942	0.213202	0.222615
1600012F09Rik	1600012F09Rik	10.5283	11.8912	13.9865	12.2222	12.6238	16.0534	14.4958	11.8222
1600012H06Rik	1600012H06Rik	5.4092	7.14292	7.52737	6.05604	4.24699	4.78601	2.75804	3.95269
1600014C10Rik	1600014C10Rik	24.7426	26.9783	26.2356	26.3668	9.43017	6.9416	6.86761	7.03585
1600014C23Rik	1600014C23Rik	0.0988029	0.222991	0.817204	0.36601	0	0	0	0.397078
1600014K23Rik	1600014K23Rik	0	0	0.0388214	0	0	0	0	0
1600015I10Rik	1600015I10Rik	0	0	0.0114246	0.0479102	0	0	0	0
1600016N20Rik	1600016N20Rik	0.0453009	0.0670074	0.0480739	0.0476823	0.0330286	0.0982282	0.0882797	0.0525196
1600019K03Rik	1600019K03Rik	0	0	0.0941851	0	0	0	0	0
1600020E01Rik	1600020E01Rik	13.0294	13.0445	10.9272	13.093	4.07753	7.0179	4.97112	7.68761
1600021P15Rik	1600021P15Rik	18.127	18.4694	18.8508	18.8035	9.2871	8.36771	7.82844	9.22112
1600025M17Rik	1600025M17Rik	0	0	0	0	0	0.250803	0	0
1600027N09Rik	1600027N09Rik	11.5402	9.75863	9.48363	10.5002	4.26575	5.25811	3.1917	8.10404
1600029D21Rik	1600029D21Rik	0.458756	0.42292	0.785457	0.589154	0.434516	0.333365	0.820512	0.527173
1600029I14Rik	1600029I14Rik	0.669229	0.29593	0.748219	0.820107	0.335864	0.418113	0.708334	0.359933
1600029O15Rik	1600029O15Rik	59.8586	64.57	79.7419	64.6233	38.4113	37.8218	29.2247	31.8453
1700001C02Rik	1700001C02Rik	1.78591	1.79011	1.6537	2.59241	2.27715	1.06179	0.299557	1.18047
1700001C19Rik	1700001C19Rik	0.125667	0.119629	0.133083	0.0202833	0.0732186	0	0.1998	0
1700001D01Rik	1700001D01Rik	0	0	0	0	1.39706	0	1.44539	2.2612
1700001F09Rik	1700001F09Rik	0	0	0	0	0	0	0	0
1700001G11Rik	1700001G11Rik	0.693508	0.984797	0.843002	0.741143	0.442416	0.689481	0.0891589	0.560358
1700001G17Rik	1700001G17Rik	2.02379	1.59693	0.736893	0.985941	1.37133	0.828441	0.199151	1.41972
1700001J03Rik	1700001J03Rik	0.0977312	0.0583048	0.0994187	0.0401183	0	0.551024	0	0
1700001J11Rik	1700001J11Rik	0.114171	0.0306838	0.0428962	0.0648621	0.230538	0.256403	0.1855	0.135921
1700001K19Rik	1700001K19Rik	2.0455	2.46081	1.92	2.02672	2.10007	1.99689	1.94484	3.26175
1700001K23Rik	1700001K23Rik	0	0.237283	0.392616	0.0849798	0.241117	1.4896	1.08097	0
1700001L05Rik	1700001L05Rik	1.10589	1.1083	1.26673	1.22508	0.966056	1.52301	1.04003	1.36197
1700001L19Rik	1700001L19Rik	15.5969	15.6227	16.9214	14.9137	5.21073	4.90347	3.90301	5.98573
1700001O22Rik	1700001O22Rik	2.62683	1.93954	2.02352	3.11857	2.0793	0.734987	0.337395	1.07291
1700001P01Rik	1700001P01Rik	0.5864	0.621488	1.01126	1.02541	0.363754	0	0.365117	0.375462
1700003C15Rik	1700003C15Rik	0	0	0	0	0	0	0	0
1700003D09Rik	1700003D09Rik	0.511645	0.838574	0.863311	0.976164	0.895497	0.457374	0.6665	0.405764
1700003E16Rik	1700003E16Rik	17.23	13.3886	11.8836	14.8902	8.33374	4.41636	2.62179	6.97701
1700003F12Rik	1700003F12Rik	7.3277	3.39549	5.99893	5.72589	4.16436	1.23424	0.442284	1.25363
1700003F17Rik	1700003F17Rik	0.0768457	0.0889043	0.0707535	0.0628569	0	0.342411	0	0.272527
1700003G13Rik	1700003G13Rik	0	0	0	0	0	0	0	0
1700003G18Rik	1700003G18Rik	0.0724389	0	0.0897969	0.218965	0.222091	0	0.460721	0
1700003H04Rik	1700003H04Rik	0	0	0	0	0	0	0	0
1700003L19Rik	1700003L19Rik	0	0	0	0	0	0	0	0
1700003M02Rik	1700003M02Rik	1.09858	1.33026	1.52004	0.859372	2.006	2.1503	1.3839	1.28193
1700003M07Rik	1700003M07Rik	12.434	12.182	14.0316	13.9956	16.6167	16.3036	10.8745	16.7045
1700003P14Rik	1700003P14Rik	0	0	0.0449526	0	0	0	0	0
1700006A11Rik	1700006A11Rik	0	0	0	0	0	0	0	0
1700006E09Rik	1700006E09Rik	0	0	0	0	0	0	0	0
1700006F04Rik	1700006F04Rik	0	0	0	0	1.3885	0	0.270979	0
1700006H21Rik	1700006H21Rik	0	0	0	0	0	0	0	0
1700007B14Rik	1700007B14Rik	0.0269049	0.0178067	0.0182624	0.0767508	0.284767	0	0.0547549	0.22509
1700007F19Rik	1700007F19Rik	0.0182851	0.0728059	0	0	0	0	0.0778519	0.0819764
1700007G11Rik	1700007G11Rik	1.3296	1.5368	2.31278	1.58663	1.38975	2.76959	0.66351	1.01043
1700007I08Rik	1700007I08Rik	0.554541	0.244524	0.297689	0.301102	0.273457	1.04928	0.355199	1.2124
1700007J10Rik	1700007J10Rik	2.861	2.50297	2.58268	2.56663	14.4021	19.7107	20.3785	24.3285
1700007K09Rik	1700007K09Rik	0.194847	0.23881	0.327288	0.263935	0	0	0	0
1700007K13Rik	1700007K13Rik	9.77716	9.97585	9.59784	10.069	3.09694	4.09425	2.48163	4.00258
1700007L15Rik	1700007L15Rik	1.50631	0.915059	1.19489	1.89584	1.73036	0.488752	0.793576	0.730264
1700007P06Rik	1700007P06Rik	0.306711	0.523181	0.543713	0.131252	1.12295	1.46259	1.45717	1.23998
1700008A04Rik	1700008A04Rik	0	0	0	0	0	0.709739	0	0
1700008F21Rik	1700008F21Rik	0	0	0.083072	0.107678	0	0.20614	0.339453	0.426613
1700008I05Rik	1700008I05Rik	0.0150343	0	0	0	0	0.0963193	0	0.0643642
1700008J07Rik	1700008J07Rik	2.60821	2.31856	2.10018	1.988	5.00437	2.0627	1.39571	4.79737
1700008K24Rik	1700008K24Rik	0.0467735	0	0	0.0792899	0.621503	0.579116	1.43988	1.00069
1700008O03Rik	1700008O03Rik	4.53325	3.16226	3.98233	4.22898	0.647943	0.944453	0.371832	0.68469
1700008P02Rik	1700008P02Rik	0	0	0	0	0	0	0	0
1700008P20Rik	1700008P20Rik	0.836258	0.205165	0.285204	0.813349	0.272129	0.204906	0.0326439	0.264632
1700009C05Rik	1700009C05Rik	0	0	0	0	0	0	0	0.163031
1700009J07Rik	1700009J07Rik	0.0416818	0	0.0721727	0	0.101015	0	0	0
1700009N14Rik	1700009N14Rik	0	0	0	0	0	0	0	0
1700009P17Rik	1700009P17Rik	6.39183	5.943	6.91971	5.32388	4.37043	3.20225	2.94363	3.82344
1700010B08Rik	1700010B08Rik	0.0393213	0.0475027	0.0368539	0.0636365	0	0.100315	0	0
1700010D01Rik	1700010D01Rik	0	0	0	0	0	1.52544	0	0
1700010I02Rik	1700010I02Rik	0.672847	0.147585	0.269111	0.101411	1.98558	5.43852	3.81382	0.63964
1700010I14Rik	1700010I14Rik	1.10875	0.975066	1.45169	1.19234	0.860264	2.19305	1.18469	1.51362
1700010J16Rik	1700010J16Rik	0	0	0	0	0	0	0.447622	0.121597
1700010K23Rik	1700010K23Rik	8.1806	6.37673	9.00926	6.68466	13.0867	15.2561	17.4571	15.8076
1700010M22Rik	1700010M22Rik	0	0	0	0.0392951	0.272767	1.21451	1.54302	0.49058
1700011A15Rik	1700011A15Rik	0	0	0.0343892	0	0	0	0	0
1700011B04Rik	1700011B04Rik	0	0	0	0	0	0	0	0
1700011E24Rik	1700011E24Rik	0.22586	0	0.039095	0.0711488	0	0.127679	0.0859173	0
1700011F03Rik	1700011F03Rik	0	0	0	0	0	0	0	0
1700011F14Rik	1700011F14Rik	0.027599	0	0	0	0	0	0	0
1700011H14Rik	1700011H14Rik	0.0488791	0.0915892	0.153663	0.0445935	0.0780791	0	0.0811395	0
1700011I03Rik	1700011I03Rik	0.586689	0.255899	0.979569	1.60021	1.53067	0.260763	0.487133	0.588737
1700011J10Rik	1700011J10Rik	13.9238	14.2576	18.3787	16.6658	11.9892	6.93331	7.66917	9.60075
1700011L22Rik	1700011L22Rik	0	0	0	0	0	0	0	0.165806
1700011M02Rik	1700011M02Rik	0.125202	0.14684	0.112224	0.102514	0	0.336606	0	0
1700012A03Rik	1700012A03Rik	0	0	0	0	0	0	0	0
1700012A16Rik	1700012A16Rik	1.11071	0.953337	1.52605	1.21516	1.11933	0.988998	0.795892	1.32409
1700012B07Rik	1700012B07Rik	0	0	0	0	0	0	0	0
1700012B09Rik	1700012B09Rik	6.3717	6.97457	9.24494	6.60648	4.08346	3.8763	2.88254	3.39452
1700012B15Rik	1700012B15Rik	14.4774	13.6454	16.7665	14.1259	13.6235	8.97133	7.98191	11.3262
1700012D01Rik	1700012D01Rik	2.12842	1.63212	2.49794	1.58215	1.49561	0.777528	0.577323	3.66178
1700012D14Rik	1700012D14Rik	2.0485	1.99708	0.890708	1.68592	1.14982	2.15004	1.44916	2.43068
1700012I11Rik	1700012I11Rik	0	0	0.0349071	0	0	0	0	0
1700012L04Rik	1700012L04Rik	0	0	0	0	0	0	0	0
1700012P22Rik	1700012P22Rik	0.103372	0.166164	0.237179	0.0873578	0	0	0	0
1700013D24Rik	1700013D24Rik	0	0	0	0.0807066	0	0	0	0
1700013F07Rik	1700013F07Rik	3.38017	4.26541	3.38658	3.22235	0.807906	1.90649	2.03254	2.35601
1700013G23Rik	1700013G23Rik	2.12267	3.50177	4.01912	4.22299	1.81575	2.57787	1.17648	1.90237
1700013G24Rik	1700013G24Rik	0	0	0	0	0	0	0	0
1700013H16Rik	1700013H16Rik	0	0.0990363	0	0.117243	0.0732994	0	0.0854429	0
1700013N18Rik	1700013N18Rik	0	0	0	0	0.0728412	0.748144	0.198356	0.977943
1700014N06Rik	1700014N06Rik	0	0	0	0	0	0	0	0
1700015E13Rik	1700015E13Rik	0.283456	0.129205	0.364864	0.177312	0.436367	0.720564	0.519506	1.1274
1700015F17Rik	1700015F17Rik	0.1611	0	0.79538	0.23751	0.183379	0	0	0.127655
1700015G11Rik	1700015G11Rik	0	0	0	0	0	0	0	0
1700016C15Rik	1700016C15Rik	0.141308	0	0	0	0.649888	0	0	0
1700016D06Rik	1700016D06Rik	0.237028	0.187356	0.253778	0.303592	1.24495	2.00383	1.14307	0.80919
1700016G22Rik	1700016G22Rik	0	0	0	0	0	0	0	0
1700016H13Rik	1700016H13Rik	0	0	0	0.0378408	0	0	0	0
1700016K19Rik	1700016K19Rik	5.10243	3.62222	5.89759	3.48999	2.33649	1.6635	0.445782	1.10194
1700016L04Rik	1700016L04Rik	0.118399	0.0531986	0.0947774	0.0727017	0	0	0	0
1700016L21Rik	1700016L21Rik	0	0	0	0	0	0	0	0
1700016M24Rik	1700016M24Rik	0.00821062	0	0.00736496	0.00642579	0.0189096	0.0224261	0.0149254	0
1700016P04Rik	1700016P04Rik	0	0	0	0	0	0	0	0
1700017B05Rik	1700017B05Rik	2.65934	2.37213	1.87306	2.47163	3.09933	2.38768	2.05942	2.64261
1700017D01Rik	1700017D01Rik	0	0	0	0	0	0	0	0
1700017G19Rik	1700017G19Rik	0.0244972	0.048945	0.0279119	0.0114568	0.0386064	0	0.0388015	0.0607205
1700017J07Rik	1700017J07Rik	0	0	0.0963533	0	0.32024	0	0	0
1700017N19Rik	1700017N19Rik	0.0332641	0.109768	0.158167	0.063307	0	0.245992	0	0
1700018A04Rik	1700018A04Rik	0	0.0615121	0	0.126267	0	0	0	0
1700018B08Rik	1700018B08Rik	0	0	0	0.02577	0	0	0	0
1700018B24Rik	1700018B24Rik	0	0.0124297	0	0.00888351	0	0	0	0
1700018C11Rik	1700018C11Rik	0	0.0667395	0.115178	0.136351	0	0	0	0.764975
1700018F24Rik	1700018F24Rik	0	0	0	0	0	0	0	0
1700018G05Rik	1700018G05Rik	0.577221	0.490752	0.482144	0.878131	0.86081	0.58068	1.24115	1.70281
